Country	ISO	Heading1	Heading2-1	indicator1	indicator2	indicator3	indicator4	indicator5	Heading2-2	Heading3-1	indicator6	indicator7	indicator8	indicator9	indicator10	Heading3-2	indicator11	indicator12	indicator13	indicator14	indicator15
Australia	AUS	0.67	0.78	0.67	1.00	0.25	1.00	1.00	0.55	0.78	1.00	0.00	1.00	1.00	0.92	0.32	0.00	1.00	0.00	0.25	0.33
Austria	AUT	0.60	0.53	0.31	1.00	0.33	0.67	0.33	0.67	0.80	1.00	0.00	1.00	1.00	1.00	0.53	0.00	1.00	0.00	1.00	0.67
Belgium	BEL	0.64	0.69	0.44	1.00	0.67	0.67	0.67	0.60	0.80	1.00	0.00	1.00	1.00	1.00	0.40	0.00	1.00	1.00	0.00	0.00
Canada	CAN	0.87	0.96	0.78	1.00	1.00	1.00	1.00	0.78	0.90	1.00	0.50	1.00	1.00	1.00	0.65	1.00	1.00	0.50	0.75	0.00
Chile	CHL	0.39	0.36	0.44	1.00	0.33	0.00	0.00	0.42	0.30	0.50	0.00	0.67	0.00	0.33	0.53	0.00	1.00	1.00	0.00	0.67
Czech Republic	CZE	0.34	0.42	0.44	1.00	0.00	0.00	0.67	0.27	0.33	1.00	0.00	0.67	0.00	0.00	0.20	0.00	1.00	0.00	0.00	0.00
Denmark	DNK	0.57	0.38	0.22	1.00	0.33	0.00	0.33	0.77	0.80	1.00	0.00	1.00	1.00	1.00	0.73	1.00	1.00	1.00	0.00	0.67
Estonia	EST	0.40	0.44	0.22	1.00	0.33	0.00	0.67	0.35	0.50	1.00	0.00	0.67	0.50	0.33	0.20	0.00	1.00	0.00	0.00	0.00
Finland	FIN	0.67	0.80	0.67	1.00	0.33	1.00	1.00	0.53	0.80	1.00	0.00	1.00	1.00	1.00	0.27	0.00	1.00	0.00	0.00	0.33
France	FRA	0.74	0.82	0.44	1.00	0.67	1.00	1.00	0.67	0.67	1.00	0.00	1.00	1.00	0.33	0.67	1.00	1.00	1.00	0.00	0.33
Germany	DEU	0.68	0.67	0.67	1.00	0.00	0.67	1.00	0.70	0.73	1.00	0.00	1.00	1.00	0.67	0.67	0.00	1.00	1.00	1.00	0.33
Greece	GRC	0.60	0.83	0.67	1.00	0.83	0.67	1.00	0.37	0.33	1.00	0.00	0.67	0.00	0.00	0.40	0.00	1.00	1.00	0.00	0.00
Iceland	ISL	0.67	0.64	0.56	1.00	0.33	0.33	1.00	0.70	0.80	1.00	0.00	1.00	1.00	1.00	0.60	0.00	1.00	1.00	1.00	0.00
Ireland	IRL	0.59	0.59	0.44	1.00	0.17	0.67	0.67	0.60	0.80	1.00	0.00	1.00	1.00	1.00	0.40	0.00	1.00	1.00	0.00	0.00
Israel	ISR	0.32	0.31	0.22	1.00	0.33	0.00	0.00	0.33	0.33	1.00	0.00	0.33	0.00	0.33	0.33	0.00	1.00	0.00	0.00	0.67
Italy	ITA	0.39	0.49	0.11	1.00	0.00	0.67	0.67	0.30	0.40	1.00	0.00	0.67	0.00	0.33	0.20	0.00	1.00	0.00	0.00	0.00
Japan	JPN	0.24	0.20	0.00	1.00	0.00	0.00	0.00	0.28	0.37	1.00	0.00	0.00	0.50	0.33	0.20	0.00	1.00	0.00	0.00	0.00
Korea	KOR	0.29	0.38	0.22	1.00	0.00	0.00	0.67	0.20	0.20	1.00	0.00	0.00	0.00	0.00	0.20	0.00	1.00	0.00	0.00	0.00
Latvia	LVA	0.32	0.44	0.22	1.00	0.00	0.67	0.33	0.20	0.20	1.00	0.00	0.00	0.00	0.00	0.20	0.00	1.00	0.00	0.00	0.00
Lithuania	LTU	0.31	0.51	0.22	1.00	0.33	0.67	0.33	0.10	0.20	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Luxembourg	LUX	0.64	0.69	0.44	1.00	0.33	0.67	1.00	0.60	0.73	1.00	0.00	1.00	1.00	0.67	0.47	0.00	1.00	1.00	0.00	0.33
Mexico	MEX	0.43	0.53	0.33	1.00	0.33	0.00	1.00	0.33	0.43	1.00	0.00	0.50	0.25	0.42	0.23	0.00	0.25	0.25	0.00	0.67
Netherlands	NLD	0.72	0.70	0.67	1.00	0.17	0.67	1.00	0.73	0.80	1.00	0.00	1.00	1.00	1.00	0.67	0.00	1.00	1.00	1.00	0.33
New Zealand	NZL	0.58	0.53	0.33	1.00	0.33	0.00	1.00	0.63	0.80	1.00	0.00	1.00	1.00	1.00	0.47	0.00	1.00	0.00	1.00	0.33
Norway	NOR	0.64	0.69	0.44	1.00	0.33	1.00	0.67	0.60	0.80	1.00	0.00	1.00	1.00	1.00	0.40	0.00	1.00	1.00	0.00	0.00
Poland	POL	0.33	0.42	0.11	1.00	0.00	0.33	0.67	0.23	0.27	1.00	0.00	0.33	0.00	0.00	0.20	0.00	1.00	0.00	0.00	0.00
Portugal	PRT	0.76	0.82	0.78	1.00	0.67	0.67	1.00	0.70	0.80	1.00	0.00	1.00	1.00	1.00	0.60	0.00	1.00	1.00	0.00	1.00
Slovak Republic	SVK	0.43	0.62	0.44	1.00	0.33	0.67	0.67	0.23	0.27	1.00	0.00	0.00	0.00	0.33	0.20	0.00	1.00	0.00	0.00	0.00
Slovenia	SVN	0.49	0.62	0.44	1.00	0.33	0.67	0.67	0.35	0.50	1.00	0.00	0.67	0.50	0.33	0.20	0.00	1.00	0.00	0.00	0.00
Spain	ESP	0.69	0.63	0.67	1.00	0.83	0.67	0.00	0.75	0.95	1.00	0.75	1.00	1.00	1.00	0.55	1.00	1.00	0.00	0.00	0.75
Sweden	SWE	0.61	0.71	0.56	1.00	0.67	0.67	0.67	0.50	0.80	1.00	0.00	1.00	1.00	1.00	0.20	0.00	1.00	0.00	0.00	0.00
Switzerland	CHE	0.31	0.20	0.00	1.00	0.00	0.00	0.00	0.42	0.50	1.00	0.00	0.67	0.50	0.33	0.33	0.00	1.00	0.00	0.00	0.67
Turkey	TUR	0.23	0.20	0.00	1.00	0.00	0.00	0.00	0.27	0.33	1.00	0.00	0.00	0.00	0.67	0.20	0.00	1.00	0.00	0.00	0.00
United Kingdom	GBR	0.59	0.66	0.44	1.00	0.58	0.67	0.58	0.53	0.78	1.00	0.00	0.92	1.00	1.00	0.27	0.00	1.00	0.00	0.00	0.33
United States	USA	0.61	0.51	0.22	1.00	0.33	0.33	0.67	0.72	0.88	1.00	0.50	1.00	1.00	0.92	0.55	1.00	1.00	0.25	0.50	0.00
OECD	OECD	0.53	0.57	0.40	1.00	0.33	0.48	0.63	0.48	0.59	0.99	0.05	0.71	0.61	0.61	0.38	0.14	0.95	0.37	0.19	0.24
